Image,pageMargin,elementSpacing,spatialBalance,sizeHierarchy,typographyHierarchy,elementAlignment,textAlignment,fontChoice,textFormatting,colorScheme,colorContrast,colorApplication,elementConsistency,relatedGroups,hierarchicalFlow,emphasisTechniques,colorBrand,typographyBrand,visualStyling,visualCohesion,communicationEffectiveness
example_948.jpg,3,3,2,4,3,3,3,1,4,4,5,4,2,1,1,4,4,4,4,5,3
example_9423.jpg,5,5,5,4,4,5,5,5,3,4,5,5,5,4,5,5,5,5,5,5,4
example_9367.jpg,5,4,5,4,4,5,5,4,2,5,3,5,4,4,1,4,5,5,5,4,4
example_18186.jpg,0,2,0,0,3,4,5,4,3,5,4,2,3,0,3,1,1,3,2,0,3
example_18201.jpg,0,4,3,3,3,4,3,5,1,4,4,4,5,5,4,3,3,3,4,4,3
example_18362.jpg,2,4,4,4,4,4,4,3,4,5,4,3,5,5,4,3,3,4,4,1,5
example_9271.jpg,5,4,4,3,0,5,5,5,5,5,5,3,5,4,4,5,5,5,5,5,5
example_18383.jpg,0,3,2,4,2,3,1,1,1,3,3,2,3,2,3,3,3,3,3,4,3
example_9173.jpg,4,4,3,3,3,3,4,4,4,4,5,4,5,4,4,3,3,4,3,3,3
example_9166.jpg,5,4,3,3,4,4,1,4,3,5,4,5,4,3,3,4,5,5,5,4,5
example_9089.jpg,5,4,5,4,4,5,5,5,4,5,4,3,3,4,4,5,4,3,4,5,3
example_9087.jpg,4,5,4,5,5,5,5,5,5,4,5,5,5,4,3,4,3,3,3,4,1
example_906.jpg,5,5,4,5,5,5,5,5,5,4,5,5,5,5,4,5,5,4,5,5,5
example_9032.jpg,4,5,5,5,0,4,5,5,4,5,5,5,5,5,4,4,4,4,4,5,4
example_891.jpg,5,5,0,5,5,5,3,5,5,4,5,5,5,5,4,5,5,5,5,5,5
example_18391.jpg,5,2,0,4,4,5,5,4,3,3,1,3,5,4,4,2,4,4,4,5,4
example_18646.jpg,0,3,2,3,5,5,4,4,5,5,3,3,4,4,3,4,4,4,3,5,1
example_18672.jpg,3,4,4,5,3,5,3,2,1,5,1,4,5,5,5,3,5,5,3,1,3
example_18738.jpg,5,4,4,4,4,5,5,4,5,5,5,5,4,4,4,4,4,4,4,4,5
example_18803.jpg,0,4,4,0,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5
example_18841.jpg,5,5,4,3,4,4,5,5,4,5,5,4,4,5,5,5,4,4,4,4,5
example_8890.jpg,5,5,5,3,1,4,4,4,5,3,5,4,4,4,4,1,3,4,4,3,5
example_8783.jpg,5,4,4,4,5,5,5,4,4,5,5,5,5,4,5,5,4,4,4,5,5
example_18889.jpg,0,4,4,5,4,4,5,4,3,3,3,4,3,3,4,4,4,4,4,4,5
example_8755.jpg,5,4,4,4,1,4,4,4,5,4,5,4,4,5,5,3,4,4,4,4,4
example_7241.jpg,5,4,4,5,5,5,4,4,5,5,5,5,5,4,5,4,5,4,4,4,5
example_8729.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0
example_872.jpg,0,5,4,4,0,4,4,5,5,4,5,4,4,4,4,4,3,4,4,4,5
example_8719.jpg,0,3,4,4,1,1,1,4,1,3,3,3,1,3,3,4,4,4,2,1,5
example_866.jpg,5,4,4,4,4,4,5,5,5,5,5,4,5,5,4,5,5,5,5,4,5
example_8586.jpg,4,0,4,3,3,4,1,1,1,2,1,4,4,4,5,4,3,4,1,1,1
example_8523.jpg,4,4,4,4,4,4,4,4,4,3,5,5,4,4,5,5,5,5,5,5,5
example_8519.jpg,5,5,4,4,4,4,5,5,4,4,5,4,4,4,5,5,4,4,4,4,5
example_8513.jpg,4,5,5,4,5,4,4,5,4,4,4,5,4,5,4,4,4,4,4,4,5
example_8478.jpg,0,4,1,1,4,4,1,1,1,4,1,1,1,4,4,4,4,4,4,1,5
example_728.jpg,4,5,4,5,5,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3
example_7348.jpg,5,4,3,4,5,5,4,4,3,3,5,3,3,4,3,4,3,3,3,3,5
example_7381.jpg,1,4,4,3,1,5,4,4,5,3,3,2,3,4,4,4,3,3,3,3,5
example_18909.jpg,5,5,5,5,4,5,5,5,4,4,4,4,4,3,3,4,4,4,4,4,5
example_18941.jpg,5,5,5,5,5,5,5,3,3,3,1,5,5,5,5,5,3,5,3,3,5
example_18998.jpg,0,4,5,4,5,4,4,3,3,2,2,4,3,4,4,3,4,4,4,4,5
example_19035.jpg,0,5,3,3,2,3,3,4,1,1,1,4,4,4,0,4,4,4,4,4,5
example_1908.jpg,5,4,3,4,3,4,3,4,1,1,1,4,1,1,3,4,4,4,4,4,1
example_19084.jpg,0,4,1,4,4,4,5,4,4,4,3,3,4,1,4,4,4,4,4,5,5
example_19137.jpg,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,3,4,4,4,4,5
example_19184.jpg,5,4,4,4,4,3,4,3,4,3,3,3,4,4,4,4,4,4,4,4,5
example_19209.jpg,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,5
example_19230.jpg,5,4,3,1,1,3,4,4,4,4,3,4,3,3,3,3,4,4,4,4,5
example_19318.jpg,4,4,1,4,3,4,4,1,1,2,2,1,4,0,3,1,4,4,3,1,3
example_19364.jpg,0,3,1,4,1,4,3,3,3,4,4,4,3,3,3,3,3,3,3,3,5
example_7488.jpg,3,1,4,4,4,4,3,4,4,1,4,4,4,3,2,3,3,3,3,0,0
example_7496.jpg,0,0,4,4,4,4,5,1,1,1,0,0,1,4,4,3,3,3,3,3,0
example_7531.jpg,0,0,0,4,3,2,4,3,2,1,0,1,1,2,1,3,3,4,4,4,3
example_7542.jpg,5,4,5,4,4,5,5,5,5,4,5,4,5,5,4,3,4,4,4,5,5
example_7789.jpg,0,4,3,4,5,4,5,4,5,5,5,4,4,4,4,4,5,5,5,5,5
example_7796.jpg,0,4,2,4,4,4,5,4,4,3,5,5,5,5,4,5,5,5,5,5,5
example_8020.jpg,3,4,4,4,4,4,4,4,4,3,3,4,5,4,4,4,4,4,4,4,5
example_8050.jpg,3,4,4,3,3,4,4,3,4,4,4,2,3,3,4,4,4,4,4,4,5
example_8141.jpg,5,3,4,4,4,5,3,4,3,3,1,1,1,1,4,1,4,4,4,4,4
example_8183.jpg,0,4,4,4,4,4,4,4,4,4,5,4,4,3,3,4,4,4,4,5,5
example_8189.jpg,5,4,4,4,4,3,5,4,5,4,5,4,5,4,5,5,4,4,4,4,5
example_823.jpg,5,4,5,4,0,5,4,4,5,5,5,4,5,4,4,5,4,4,4,5,5
example_8239.jpg,0,4,4,5,4,5,4,5,4,3,2,4,1,4,2,4,4,4,4,4,5
example_8266.jpg,5,5,5,4,1,5,3,3,4,4,3,2,4,4,5,3,4,4,4,4,5
example_8311.jpg,5,4,4,4,4,5,5,4,4,5,5,5,3,3,4,5,4,4,4,4,5
example_8432.jpg,2,4,0,4,4,4,1,4,4,4,5,1,4,3,1,1,4,4,4,3,4
example_10896.jpg,1,1,2,3,2,1,2,3,2,4,3,3,2,1,1,2,4,3,4,1,2
example_10909.jpg,4,4,3,4,4,3,4,4,3,2,3,3,4,4,3,3,4,3,3,3,4
example_10920.jpg,4,4,4,4,3,4,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4
example_10950.jpg,4,2,2,2,2,3,2,4,2,2,4,3,4,3,2,3,4,4,3,3,3
example_10982.jpg,5,5,5,5,5,4,5,4,4,4,5,5,4,4,4,4,4,4,4,4,5
example_1100.jpg,5,5,5,5,3,4,5,3,4,4,5,5,4,4,5,5,4,5,4,5,5
example_11026.jpg,4,3,3,3,3,4,3,3,2,4,3,4,3,4,3,3,4,3,4,4,3
example_1115.jpg,3,3,3,3,3,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4
example_11214.jpg,4,3,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
example_11316.jpg,5,3,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4
example_11318.jpg,4,4,3,4,4,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4
example_11327.jpg,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
example_11427.jpg,4,4,3,3,4,3,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4
